name,elementId,quantity,image
LEFT DOOR 1X3,6078212,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6078212.jpg
PLATE 3X4 W/ANGLES,6170522,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6170522.jpg
"PLATE 1X1, W/ 1.5 PLATE 1X1, UPWARDS",6307926,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6307926.jpg
WINDSCREEN 2X4X2,6253682,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6253682.jpg
RADIATOR GRILLE 1X2,241223,1,https://www.lego.com/cdn/cs/set/assets/blt29bcdac1e647ea8e/241223.jpg
PLATE 1X1,6252045,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6252045.jpg
PLATE 4X4,4243815,1,https://www.lego.com/cdn/cs/set/assets/blte9759246555115d0/4243815.jpg
"RIM, NARROW, W/ 8.0 HOLE",6194808,4,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6194808.jpg
MINI HANDLE,4211464,1,https://www.lego.com/cdn/cs/set/assets/bltb4e059166931b215/4211464.jpg
FISHING ROD 10M,6270122,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6270122.jpg
LAMP HOLDER,6281998,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6281998.jpg
LAMP HOLDER,6281993,1,https://www.lego.com/cdn/cs/set/assets/blt98171fd77fdd6b5b/6281993.jpg
PLATE 4X4,4243812,1,https://www.lego.com/cdn/cs/set/assets/blte554de6a7a530bed/4243812.jpg
PLATE 4X12,4168072,1,https://www.lego.com/cdn/cs/set/assets/bltbb10919332800bbf/4168072.jpg
"PLATE 1X1, W/ 1.5 PLATE 1X1, DOWNWARDS",6296132,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6296132.jpg
ANGLE PLATE 1X2/1X4,6168618,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6168618.jpg
FLAT TILE 1X8,416223,4,https://www.lego.com/cdn/cs/set/assets/blt4a60f5da751df530/416223.jpg
FLAT TILE 1X2,306923,1,https://www.lego.com/cdn/cs/set/assets/blt69f75c8bed78c064/306923.jpg
FLAT TILE 1X1,6254248,2,https://www.lego.com/cdn/cs/set/assets/blt155f1150b205878e/6254248.jpg
PLATE 2X3,302126,1,https://www.lego.com/cdn/cs/set/assets/blt4adc45445105e920/302126.jpg
PLATE 2X6,379526,1,https://www.lego.com/cdn/cs/set/assets/blt572a13d4bfde7b7f/379526.jpg
ROOF TILE 2X3/25° INV.,6435928,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6435928.jpg
TYRE HIGH NARROW Ø15 X 6,4578677,2,https://www.lego.com/cdn/cs/set/assets/blt07eb1f42c8341a4c/4578677.jpg
BRICK 2X2,300326,12,https://www.lego.com/cdn/cs/set/assets/blt2d0f75016fdf00c0/300326.jpg
BRICK 2X4,300126,2,https://www.lego.com/cdn/cs/set/assets/bltfeb4c126df403de0/300126.jpg
PLATE 4X12,4211401,1,https://www.lego.com/cdn/cs/set/assets/bltc5852ebac80d3db6/4211401.jpg
PLATE 6X14,4293831,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/4293831.jpg
CLAMP 1X2,243201,2,https://www.lego.com/cdn/cs/set/assets/blt5260399371e9fc54/243201.jpg
"TILE 2X2, W/ DEG. 45 CUT",6385265,2,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6385265.jpg
PLATE 1X4,371001,1,https://www.lego.com/cdn/cs/set/assets/blta55739529b8e1803/371001.jpg
PLATE 1X2 W. STICK 3.18,4225201,1,https://www.lego.com/cdn/cs/set/assets/blt5c5811781dc0ba76/4225201.jpg
PLATE 1X2X4 W. TUBE,6287500,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6287500.jpg
PLATE 1X2,302321,1,https://www.lego.com/cdn/cs/set/assets/blt442393b96359694d/302321.jpg
PLATE 2X2,302221,1,https://www.lego.com/cdn/cs/set/assets/blt58f70c53093df0b0/302221.jpg
"FLAT TILE 2X2, ROUND, W/ HOLE, NO. 10",6476635,1,https://www.lego.com/cdn/product-assets/element.img.photoreal.192x192/6476635.jpg
